location,state_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_vacc,black_vacc,hispanic_vacc,asian_vacc
Alabama,4903185,0.654,0.265,0.044,0.014,0.71,0.24,0.0375,0.02
Alaska,731545,0.6,0.022,0.07,0.06,0.39,0.02,0.05,0.05
Arizona,7278717,0.542,0.043,0.318,0.033,0.56,0.02,0.14,0.04
Arkansas,3017804,0.721,0.152,0.078,0.016,0.82,0.12,0.2,0.02
California,39512223,0.364,0.053,0.395,0.147,0.33,0.03,0.25,0.15
Colorado,5758736,0.678,0.038,0.218,0.032,0.81,0.03,0.1,0.03
Connecticut,3565287,0.657,0.1,0.169,0.046,0.74,0.06,0.09,0.04
Delaware,973764,0.614,0.218,0.097,0.039,0.72,0.13,0.06,0.04
District of Columbia,705749,0.367,0.45,0.112,0.037,0.47,0.37,0.1,0.0325
Florida,21477737,0.53,0.15,0.266,0.027,0.79,0.08,0.22,0.04666666666666667
Georgia,10617423,0.52,0.313,0.098,0.041,0.6,0.24,0.06,0.07
Hawaii,1415872,0.204,0.012,0.103,0.394,0.29,0.01,0.0825,0.54
Idaho,1787065,0.816,0.007,0.129,0.012,0.83,0.01,0.08,0.02
Illinois,12671821,0.609,0.136,0.176,0.056,0.69,0.09,0.12,0.06
Indiana,6732219,0.786,0.092,0.072,0.024,0.87,0.06,0.04,0.03
Iowa,3155070,0.853,0.039,0.063,0.023,0.94,0.01,0.03,0.02
Kansas,2913314,0.757,0.055,0.122,0.028,0.8,0.04,0.1,0.03
Kentucky,4467673,0.845,0.08,0.037,0.016,0.85,0.05,0.0375,0.01
Louisiana,4648794,0.588,0.319,0.052,0.017,0.61,0.28,0.0375,0.03
Maine,1344212,0.932,0.014,0.017,0.011,0.86,0.01,0.02,0.01
Maryland,6045680,0.499,0.296,0.106,0.064,0.62,0.23,0.06,0.08
Massachusetts,6892503,0.705,0.07,0.124,0.067,0.79,0.05,0.07,0.06
Michigan,9986857,0.749,0.134,0.053,0.032,0.78,0.08,0.03,0.03
Minnesota,5639632,0.791,0.064,0.056,0.049,0.88,0.04,0.03,0.04
Mississippi,2976149,0.566,0.376,0.03,0.01,0.58,0.34,0.02,0.02
Missouri,6137428,0.794,0.112,0.043,0.021,0.84,0.08,0.05,0.03
Montana,1068778,0.861,0.006,0.037,0.008,0.9233333333333333,0.016666666666666666,0.030000000000000002,0.02
Nebraska,1934408,0.785,0.048,0.113,0.024,0.88,0.03,0.07,0.03
Nevada,3080156,0.478,0.092,0.293,0.085,0.48,0.06,0.2,0.12
New Hampshire,1359711,0.898,0.013,0.039,0.026,0.9233333333333333,0.016666666666666666,0.030000000000000002,0.0325
New Jersey,8882190,0.545,0.124,0.21,0.096,0.62,0.06,0.11,0.1
New Mexico,2096829,0.367,0.017,0.495,0.016,0.45,0.02,0.4,0.03
New York,19453561,0.552,0.14,0.193,0.086,0.74,0.11,0.14,0.14
North Carolina,10488084,0.627,0.209,0.097,0.029,0.73,0.17,0.06,0.04
North Dakota,762062,0.841,0.024,0.04,0.014,0.865,0.016666666666666666,0.030000000000000002,0.02
Ohio,11689100,0.786,0.122,0.04,0.023,0.84,0.08,0.03,0.03
Oklahoma,3956971,0.65,0.069,0.111,0.021,0.82,0.05,0.09,0.04
Oregon,4217737,0.75,0.018,0.134,0.047,0.78,0.02,0.07,0.05
Pennsylvania,12801989,0.76,0.104,0.078,0.035,0.85,0.04,0.04,0.04666666666666667
Rhode Island,1059361,0.705,0.059,0.166,0.033,0.82,0.04,0.1,0.03
South Carolina,5148714,0.637,0.262,0.057,0.017,0.64,0.19,0.04,0.02
South Dakota,884659,0.819,0.022,0.037,0.013,0.95,0.01,0.030000000000000002,0.02
Tennessee,6829174,0.736,0.164,0.057,0.018,0.73,0.12,0.04,0.02
Texas,28995881,0.411,0.117,0.4,0.05,0.44,0.08,0.31,0.08
Utah,3205958,0.778,0.01,0.144,0.023,0.82,0.01,0.08,0.03
Vermont,623989,0.928,0.011,0.018,0.016,0.96,0.01,0.030000000000000002,0.02
Virginia,8535519,0.613,0.189,0.096,0.067,0.64,0.14,0.1,0.05
Washington,7614893,0.675,0.038,0.13,0.089,0.66,0.03,0.08,0.11
West Virginia,1792147,0.925,0.032,0.014,0.008,0.95,0.03,0.030000000000000002,0.02
Wisconsin,5822434,0.811,0.062,0.071,0.03,0.93,0.04,0.04,0.03
Wyoming,578759,0.838,0.01,0.101,0.006,0.865,0.016666666666666666,0.0825,0.02
